step,train_loss,train_accuracy,train_entropy,val_loss,val_accuracy,val_entropy
10,3.819416809082031,0.4790804421529174,2.853780099749565,,,
20,2.836808776855469,0.6067838422954083,2.582150074094534,,,
30,2.084847831726074,0.6803985882550478,2.2160807073116304,,,
40,1.534583282470703,0.7519635558128357,1.852813807874918,,,
50,1.2465899467468262,0.7814867198467255,1.4693274207413196,1.1522314548492432,0.7835227707673235,1.4744365706778408
60,1.2378318786621094,0.7827752161771059,1.4266864396631718,,,
70,1.0980820655822754,0.7980439126491546,1.2973551467061042,,,
80,1.049459171295166,0.8019723352044821,1.245367069169879,,,
90,1.0461941719055177,0.8011603012681008,1.2437673166394234,,,
100,1.0391925811767577,0.8048160899430513,1.254676255211234,0.9148236513137817,0.811834548649035,1.2380317575053166
110,1.0122174263000487,0.8108887214213609,1.244469054043293,,,
120,0.9447687149047852,0.8187347669154406,1.1738938786089421,,,
130,0.9503071784973145,0.8158225622028112,1.142286156117916,,,
140,0.8884371757507324,0.81827920563519,1.0981321327388287,,,
150,0.8774358749389648,0.8216185219585895,1.0709036745131015,0.8212929964065552,0.826263435751374,1.0712256544863272
160,0.8874669075012207,0.8219001423567533,1.1041110817342996,,,
170,0.84334716796875,0.8261357441544532,1.0811311028897763,,,
180,0.8598860740661621,0.8262862644227994,1.0704673820612383,,,
190,0.8337150573730469,0.8306295886635781,1.0528466206043958,,,
200,0.8246232986450195,0.8283888194710016,1.0394888453185558,0.7704703211784363,0.8297680476952715,1.0320804519960058
210,0.820012378692627,0.8263534516096115,1.0365376334637404,,,
220,0.7835128307342529,0.8350729141384363,0.9969378136098385,,,
230,0.7777610301971436,0.8337053164839745,1.0023820511996746,,,
240,0.795168399810791,0.8337807148694992,1.01225939206779,,,
250,0.7780991554260254,0.8328723665326834,1.0321999628096818,0.7254347801208496,0.8355298331606458,0.9766310129249305
260,0.7696138858795166,0.8348944380879402,1.037934984266758,,,
270,0.7821696758270263,0.8334050450474024,1.0458702005445957,,,
280,0.7591716766357421,0.8320764433592558,0.9931453241035342,,,
290,0.6983783721923829,0.8487885318696499,0.9756476555019618,,,
300,0.7125202178955078,0.8549561195075512,0.9623805325478315,0.6783093214035034,0.8516362483738459,0.9678073127193061
310,0.6984607219696045,0.8510805018246174,0.9732660882174968,,,
320,0.7033761978149414,0.8504917781800032,0.9516070997342467,,,
330,0.6740716934204102,0.8527001179754734,0.9446609854698181,,,
340,0.670015287399292,0.8525617931038141,0.9501004243269563,,,
350,0.6960047245025635,0.8519266876233679,0.9404318300234217,0.6517831087112427,0.8526794605436381,0.9406812823655313
360,0.6689833641052246,0.8553933672606945,0.9523994993418455,,,
370,0.6426152229309082,0.8577225230634212,0.9293086912482977,,,
380,0.6609440326690674,0.8575347755104303,0.9606442417949438,,,
390,0.6849533081054687,0.852504125982523,0.9847485540434718,,,
400,0.6631074905395508,0.8532929670065641,0.9677970573306084,0.6357255578041077,0.8548018963713395,0.9153700618193163
410,0.6706114292144776,0.8564141880720854,0.9399934450164438,,,
420,0.6373481750488281,0.8604313880205154,0.9197069317102432,,,
430,0.6505171298980713,0.8576584618538619,0.9301780506968498,,,
440,0.6251718521118164,0.8615333452820778,0.9141314204782247,,,
450,0.6720053672790527,0.8561198376119137,0.9637649282813072,0.6299499273300171,0.8555984016050372,0.9206844162174136
460,0.6409728050231933,0.8583019733428955,0.9537263175472617,,,
470,0.6115965843200684,0.8600995272397995,0.9147872159257531,,,
480,0.6245286464691162,0.862498139217496,0.9539341049268841,,,
490,0.6218930244445801,0.8628159273415804,0.9297554913908244,,,
500,0.6682769298553467,0.8555749755352735,0.95868851095438,0.6293537020683289,0.8556004206688084,0.9178633678552003
510,0.664737319946289,0.8568351972848177,0.9498791059479117,,,
516,,,,0.6292718648910522,0.8563624040076607,0.9185322971894727
