standardized_smiles,odor_2,odor_3,odor_4,odor_5,odor_6,odor_7,odor_8,odor_9,odor_10,odor_11,odor_12,odor_13,odor_14,odor_15,odor_16,odor_17,odor_18,odor_19,odor_20,odor_21,odor_22,odor_23,odor_24,odor_25,odor_26,odor_27,odor_28
C=C(C)C1CCC(C)(O)C(O)C1,Minty,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(O)C1C,Camphor,Spices,Citrus,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(O)CC1,Earthy,Woody,Moldy,Pungent,Musty,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)(OC(C)=O)C1C,Warm,Woody,Herbal,Clary sage,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)=C(OO)C1,Turpentine,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)=C1CC(C)(C)COC(=O)CC,Sweet,Animal,Musk,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(=O)C1,Woody,Menthol,Hay,Cool,Terpenic,Herbal,Spearmint,Rye bready,Camphor,Warm,Minty,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(O)C1,Woody,Spices,Menthol,Terpenic,Cool,Herbal,Spearmint,Fresh,Camphor,Sweet,Minty,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C(OC(C)=O)C1,Sweet (Medicinal),Rose,Bean,Medicinal,Green,Cucumber,Pine,Floral,Camphor,Fruity,Vegetable,Cumin,Sweet,Vanilla,Minty,,,,,,,,,,,,
C=C(C)C1CCC(C)C1C=O,Camphor,Herbal,Minty,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,Balsamic,Woody,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2=O,Agarwood,Woody,Pepper,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1=O,Fresh,Herbal,Minty,Peppermint,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1O,Woody,Grassy,Medicinal,Green,Cool,Herbal,"Grassy(Green, Sharp)",Minty,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC(C)=O,Sweet (Medicinal),Woody,Menthol,Tropical,Medicinal,Cool,Leafy,Berry,Camphor,Seedy,Sweet,Minty,Peppermint,,,,,,,,,,,,,,
C=C(C)C1CCC(C)CC1OC=O,Green,Leafy,Floral,Minty,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC(C=O)CC1,Fruity,Spices,Herbal,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCC=C(C)C2C1,Amber,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)CCCC(=C)C2C1,Herbal,,,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2(C)OC2C1,Citrus,Green,Herbal,Spearmint,Fresh,Fruity,Minty,Clean,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1,Woody,Grapefruit,Citrus,Terpenic,Gardenia,Sweet,Orange,,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2=CCCC(C)C2(C)C1,Woody,Grapefruit,Citrus,Green,Fresh,Oily,Sweet,Orange,,,,,,,,,,,,,,,,,,,
C=C(C)C1CCC2CC(=O)CC(C)C2(C)C1,Strong,Fruity,Grapefruit,Citrus,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=CC(CCC(C)=O)C(C)C,Tea,Hay,Fruity,Melon,Tobacco,Carrot,,,,,,,,,,,,,,,,,,,,,
C=C(C)C=O,Green,Hyacinth,Floral,Foliage,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)=O,Acrylic,Vegetable,Pungent,,,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CC(C)OC(=O)C(C)C,Herbal,Floral,Fruity,Natural,Camomile,,,,,,,,,,,,,,,,,,,,,,
C=C(C)CCC(C)=O,Green,Weed,Vegetable,Foliage,,,,,,,,,,,,,,,,,,,,,,,
